Question,Answer,Functions,qclean
How can I find my medical coverage details?,Your medical coverage can be located from HR Portal (Home > Rewards​ > Group Medical Conversion Plan),Benefits,find medical coverage details
What is my medical coverage?,Your medical coverage can be located from HR Portal (Home > Rewards​ > Group Medical Conversion Plan),Benefits,medical coverage
When can I receive my accrued ORSO balance?,The ORSO redemption process takes around 1 month after the Trustee received the last contribution on the 10th day of each calendar month. We will help bank-in the balance to your payroll account and send the statement to you by mail.,Pension,receive accrued orso balance
When will I receive my accrued ORSO balance?,The ORSO redemption process takes around 1 month after the Trustee received the last contribution on the 10th day of each calendar month. We will help bank-in the balance to your payroll account and send the statement to you by mail.,Pension,receive accrued orso balance
"I enrolled in ORSO plan, when should I expect to receive the remaining balance?",The ORSO redemption process takes around 1 month after the Trustee received the last contribution on the 10th day of each calendar month. We will help bank-in the balance to your payroll account and send the statement to you by mail.,Pension,enrolled orso plan expect receive remaining balance
How long I need to wait for the ORSO fund cash in ,The ORSO redemption process takes around 1 month after the Trustee received the last contribution on the 10th day of each calendar month. We will help bank-in the balance to your payroll account and send the statement to you by mail.,Pension,long need wait orso fund cash
How long does it take for ORSO balance to be refunded?,The ORSO redemption process takes around 1 month after the Trustee received the last contribution on the 10th day of each calendar month. We will help bank-in the balance to your payroll account and send the statement to you by mail.,Pension,long take orso balance refunded
When can I get my IR56F for tax reporting?,You will receive your IR56F within 3 months upon your departure.,Taxation,get ir f tax reporting
When can I get my tax reporting documents?,You will receive your IR56F within 3 months upon your departure.,Taxation,get tax reporting documents
How long does it take to receive documents for tax purpose?,You will receive your IR56F within 3 months upon your departure.,Taxation,long take receive documents tax purpose
What is PRUflexiben deduction and how does it calculated?,Your PRUflexiben entitlement is calculated up to your last employment date. The deduction is the difference between your entitlement and the allowance already paid to you via payroll.,Benefits,pruflexiben deduction calculated
Why is my PRUflexiben is deducted?,Your PRUflexiben entitlement is calculated up to your last employment date. The deduction is the difference between your entitlement and the allowance already paid to you via payroll.,Benefits,pruflexiben deducted
Will there be an early release on (festival day)?,"Department heads could arrange early release of staff at 4 pm on the following occasions, if it falls on a normal work day, at their sole discretion and subject to workload permitting:
> Lunar New Year’s Eve
> Annual Staff Dinner Party
> Mid Autumn Festival
> Winter Solstice Festival
> Christmas Eve
> New Year's Eve

For details, please refer to the Employee Handbook on HR Portal.",Benefits,early release festival day
What is early release?,"Department heads could arrange early release of staff at 4 pm on the following occasions, if it falls on a normal work day, at their sole discretion and subject to workload permitting:
> Lunar New Year’s Eve
> Annual Staff Dinner Party
> Mid Autumn Festival
> Winter Solstice Festival
> Christmas Eve
> New Year's Eve

For details, please refer to the Employee Handbook on HR Portal.",Benefits,early release
When is the early release?,"Department heads could arrange early release of staff at 4 pm on the following occasions, if it falls on a normal work day, at their sole discretion and subject to workload permitting:
> Lunar New Year’s Eve
> Annual Staff Dinner Party
> Mid Autumn Festival
> Winter Solstice Festival
> Christmas Eve
> New Year's Eve

For details, please refer to the Employee Handbook on HR Portal.",Benefits,early release
Which day in prior of festival day can have early release?,"Department heads could arrange early release of staff at 4 pm on the following occasions, if it falls on a normal work day, at their sole discretion and subject to workload permitting:
> Lunar New Year’s Eve
> Annual Staff Dinner Party
> Mid Autumn Festival
> Winter Solstice Festival
> Christmas Eve
> New Year's Eve

For details, please refer to the Employee Handbook on HR Portal.",Benefits,day prior festival day early release
When do I have early release?,"Department heads could arrange early release of staff at 4 pm on the following occasions, if it falls on a normal work day, at their sole discretion and subject to workload permitting:
> Lunar New Year’s Eve
> Annual Staff Dinner Party
> Mid Autumn Festival
> Winter Solstice Festival
> Christmas Eve
> New Year's Eve

For details, please refer to the Employee Handbook on HR Portal.",Benefits,early release
How can I hire contingent worker?,"In myHR, the contingent worker is maintained by the cost center manager.  Regarding the data maintenance, please contact IT coordinator for details.",Benefits,hire contingent worker
What's the process of hiring contingent worker?,"In myHR, the contingent worker is maintained by the cost center manager.  Regarding the data maintenance, please contact IT coordinator for details.",Benefits,process hiring contingent worker
"I want to hire contingent worker, what to do?","In myHR, the contingent worker is maintained by the cost center manager.  Regarding the data maintenance, please contact IT coordinator for details.",Benefits,want hire contingent worker
How to execute PIP (Performance Improvement Plan)?,Please ask your HR Business Partner,Performance Management,execute pip performance improvement plan
What is Performance improvement plan?,Please ask your HR Business Partner,Performance Management,performance improvement plan
How can I get an employment proof?,Please contact your HR Business Partner for employment proof.,HR Proof,get employment proof
I want to get employment proof,Please contact your HR Business Partner for employment proof.,HR Proof,want get employment proof
"I want to apply for mortage, I need a letter from company to prove my salary and my employment here",Please contact your HR Business Partner for employment proof.,HR Proof,want apply mortage need letter company prove salary employment
I want to prove my salary and employment for mortgage application,Please contact your HR Business Partner for employment proof.,HR Proof,want prove salary employment mortgage application
How can I apply the company letter for travel (personal trip) visa?,Please contact your HR Business Partner for employment proof.,HR Proof,apply company letter travel personal trip visa
I want to apply for company letter for personal travel visa,Please contact your HR Business Partner for employment proof.,HR Proof,want apply company letter personal travel visa
How to apply company letter?,Please contact your HR Business Partner for employment proof.,HR Proof,apply company letter
"My work visa is about to expire, to whom I should contact to renew my work visa?",Please contact your HR Business Partner for employment proof.,HR Proof,work visa expire contact renew work visa
How to renew my work visa?,Please contact your HR Business Partner for employment proof.,HR Proof,renew work visa
"My work visa is expiring, how to renew that?",Please contact your HR Business Partner for employment proof.,HR Proof,work visa expiring renew
How can I request employment / salary proof?,Please contact your HR Business Partner for employment proof.,HR Proof,request employment salary proof
I want to request employment / salary proof,Please contact your HR Business Partner for employment proof.,HR Proof,want request employment salary proof
Onboarding process – not able to upload ID card / not able to add dependents,Please contact your HR Business Partner in case you have any enquiry on myHR.,Benefits,onboarding process able upload id card able add dependents
I can't upload documents,Please contact your HR Business Partner in case you have any enquiry on myHR.,Benefits,upload documents
I can't add dependents / kids / spouse / husband / wife to myHR,Please contact your HR Business Partner in case you have any enquiry on myHR.,Benefits,add dependents kids spouse husband wife myhr
Who can help to reset my password in myHR?,Please use forget password function to retrieve your own password.  ,Benefits,help reset password myhr
Can you reset my password in myHR?,Please use forget password function to retrieve your own password.  ,Benefits,reset password myhr
Reset myHR password,Please use forget password function to retrieve your own password.  ,Benefits,reset myhr password
"I want to buy company product, who should I contact?","There are many staff discounts on company product.  For details, please refer HR Portal (Home > Employee Engagement > Staff Privilege)",Benefits,want buy company product contact
Do I have company discount products?,"There are many staff discounts on company product.  For details, please refer HR Portal (Home > Employee Engagement > Staff Privilege)",Benefits,company discount products
What are the company discoutn products?,"There are many staff discounts on company product.  For details, please refer HR Portal (Home > Employee Engagement > Staff Privilege)",Benefits,company discoutn products
"I just passed my actuarial examination, how can I process the claim?","To claims the examination fee, please
1) submit your claims via T&C 
2) obtain line manager's approval on T&C reimbursement application
3) send approved T&C & training documents to Finance

To improve the user experience and streamline the claim process, we keep fine tune the process.  Please keep an eye on HR communication and view the details at HR Portal (Home > 
News Listing > Talent & Learning).",Learning & Development,passed actuarial examination process claim
How to apply actuarial exam refund?,"To claims the examination fee, please
1) submit your claims via T&C 
2) obtain line manager's approval on T&C reimbursement application
3) send approved T&C & training documents to Finance

To improve the user experience and streamline the claim process, we keep fine tune the process.  Please keep an eye on HR communication and view the details at HR Portal (Home > 
News Listing > Talent & Learning).",Learning & Development,apply actuarial exam refund
How can I reimburse my actuarial exam cost?,"To claims the examination fee, please
1) submit your claims via T&C 
2) obtain line manager's approval on T&C reimbursement application
3) send approved T&C & training documents to Finance

To improve the user experience and streamline the claim process, we keep fine tune the process.  Please keep an eye on HR communication and view the details at HR Portal (Home > 
News Listing > Talent & Learning).",Learning & Development,reimburse actuarial exam cost
"myHR usage problem, i.e. cannot complete the process when there is error message","When there is an error, the error message should be highlighted in RED.  Please check if any invalid input and re-submit again.  In case you don't have any idea, please capture the screen and send to your HRBP for further checking.",IT Support,myhr usage problem e cannot complete process error message
"I have encountered an issue in myHR, how to deal with it?","When there is an error, the error message should be highlighted in RED.  Please check if any invalid input and re-submit again.  In case you don't have any idea, please capture the screen and send to your HRBP for further checking.",IT Support,encountered issue myhr deal
How can I create Workplace by Facebook account?,"Workplace by Facebook account is automatically created for all permanent staffs.  You can download the app and install accordingly.  At the first login, an email may be sent to your work email address for verification.",IT Support,create workplace facebook account
How to start to use Workplace?,"Workplace by Facebook account is automatically created for all permanent staffs.  You can download the app and install accordingly.  At the first login, an email may be sent to your work email address for verification.",IT Support,start use workplace
Do I have Workplace account automatically?,"Workplace by Facebook account is automatically created for all permanent staffs.  You can download the app and install accordingly.  At the first login, an email may be sent to your work email address for verification.",IT Support,workplace account automatically
Can I reimburse the medical fees before I get my medical card?,Yes you can download the claim form in https://onenet.prudential.com.hk/depts/hr/Pages/re-Rewards_PRUFlexiben.aspx and drop in your form with original receipts to the Flexiben drop box in your office location,Benefits,reimburse medical fees get medical card
How to claim medical spending before receive medical card?,Yes you can download the claim form in https://onenet.prudential.com.hk/depts/hr/Pages/re-Rewards_PRUFlexiben.aspx and drop in your form with original receipts to the Flexiben drop box in your office location,Benefits,claim medical spending receive medical card
How to get refund for medical cost if I don't have medical card?,Yes you can download the claim form in https://onenet.prudential.com.hk/depts/hr/Pages/re-Rewards_PRUFlexiben.aspx and drop in your form with original receipts to the Flexiben drop box in your office location,Benefits,get refund medical cost medical card
Who is my HRBP?,"You can find your HRBP at the ""HR Contact"" of HR Portal.",HR Contact,hrbp
Who should I contact for HR related questions?,"You can find your HRBP at the ""HR Contact"" of HR Portal.",HR Contact,contact hr related questions
When can I receive the OT allowance and transportation expense after the application is approved?,"If the application is approved on or before the payroll cutoff date of current month, it will be paid via current month payroll. If not, it will be paid next month.
For transportation expense reimbursement, original receipts have to be submitted to HR on top of approval.",Payroll,receive ot allowance transportation expense application approved
When will I receive OT reimbursement?,"If the application is approved on or before the payroll cutoff date of current month, it will be paid via current month payroll. If not, it will be paid next month.
For transportation expense reimbursement, original receipts have to be submitted to HR on top of approval.",Payroll,receive ot reimbursement
How long does it take to receive OT related allowance?,"If the application is approved on or before the payroll cutoff date of current month, it will be paid via current month payroll. If not, it will be paid next month.
For transportation expense reimbursement, original receipts have to be submitted to HR on top of approval.",Payroll,long take receive ot related allowance
Any exemption for late submission of OT allowance and transportation expense?,No exemption for late submission due to audit purpose.,Payroll,exemption late submission ot allowance transportation expense
"I submitted OT claims late, is there any exemptions?",No exemption for late submission due to audit purpose.,Payroll,submitted ot claims late exemptions
Could I apply OT allowance and transportation expense incurred 3 months ago?,"No, you can only apply OT, meal allowance and OT transportation expense incurred in the current and previous two months in iOT by the last day of the current month.",Payroll,could apply ot allowance transportation expense incurred months ago
"As an approver, I can’t see the pending approval OT claims record from my subordinates. ",Please change the “From Date” under “Approve Pending Applications” to widen the period of the OT application submission date.,IT Support,approver see pending approval ot claims record subordinates
How can I see pending approval OT claims? ,Please change the “From Date” under “Approve Pending Applications” to widen the period of the OT application submission date.,IT Support,see pending approval ot claims
Why can’t I receive the OT allowance and transportation expense in recent payroll?,"Please check the following: 
1) the approval status in iOT;
2) if the approval date of your application falls after the payroll cutoff date of current month; 
3) if you have submitted original transportation receipts to substantiate your application ",Payroll,receive ot allowance transportation expense recent payroll
I didn’t receive my OT allowance ,"Please check the following: 
1) the approval status in iOT;
2) if the approval date of your application falls after the payroll cutoff date of current month; 
3) if you have submitted original transportation receipts to substantiate your application ",Payroll,receive ot allowance
"How can I submit the OT, meal allowance and OT transportation expense claims?","You can submit the OT, meal allowance and OT transportation claims via iOT. For details, please HR OneNet > Rewards > Overtime Allowance / Overtime Meal Allowance / Overtime Transportation Expense Reimbursement.",Payroll,submit ot meal allowance ot transportation expense claims
I submitted the OT claims in wrong month.,Please contact payroll team to reject the application for you.,IT Support,submitted ot claims wrong month
I can’t reset my password in iOT system.,Please contact payroll team to reset the account for you.,IT Support,reset password iot system
I am unable to login iOT system.,Please reset your password by clicking “Forgot Password” on the iOT main page.,IT Support,unable login iot system
I can't login to iOT ,Please reset your password by clicking “Forgot Password” on the iOT main page.,IT Support,login iot
"My iOT account is locked, how can I reset the password?","Please use forget password function to retrieve your own password.  In case you still cannot login to it, please contact Payroll Team.",IT Support,iot account locked reset password
"I am a new joiner, when will I have the iOT account?",Your account will be available on the 7th day of next month upon you joined us.,IT Support,new joiner iot account
When can I use iOT to claim?,Your account will be available on the 7th day of next month upon you joined us.,IT Support,use iot claim
What can I do if I can't reset my password in iOT?,Please contact Payroll Team to reset the account for you.,IT Support,reset password iot
How can I purchase Prudential Life Insurance Product in staff discount?,"Employees are eligible to purchase Prudential Life Insurance Product.  For detailed procedure, please refer HR Portal (Home > Employee Engagement > Staff Privilege > Discounts On Company Products)",Benefits,purchase prudential life insurance product staff discount
How can I purchase company insurance product?,"Employees are eligible to purchase Prudential Life Insurance Product.  For detailed procedure, please refer HR Portal (Home > Employee Engagement > Staff Privilege > Discounts On Company Products)",Benefits,purchase company insurance product
Am I eligible for company discounted insurance product?,"Employees are eligible to purchase Prudential Life Insurance Product.  For detailed procedure, please refer HR Portal (Home > Employee Engagement > Staff Privilege > Discounts On Company Products)",Benefits,eligible company discounted insurance product
How can I access company email on my mobile devices?,"To access company email on my mobile devices, you have to submit ITJR and get Department Head and IRM approval.  Once approved, IT colleague will contact you for installation accordingly.",IT Support,access company email mobile devices
I want to access outlook on mobile phone,"To access company email on my mobile devices, you have to submit ITJR and get Department Head and IRM approval.  Once approved, IT colleague will contact you for installation accordingly.",IT Support,want access outlook mobile phone
How can I submit ITJR?,"To submit ITJR, please
1) Open your Lotus Notes application
2) Click the icon ""IT Job Request""
3) Fill in the required items based on your requirement
4) Submit for approval",IT Support,submit itjr
How to submit IT request?,"To submit ITJR, please
1) Open your Lotus Notes application
2) Click the icon ""IT Job Request""
3) Fill in the required items based on your requirement
4) Submit for approval",IT Support,submit request
How to input Objectives Setting / Employee Evaluation / Manager Evaluation,"All objectives setting and performance review are captured on myHR.  Once the process is initiated, employee will receive email notification to complete it.",Performance Management,input objectives setting employee evaluation manager evaluation
What is the practice of Objective setting / performance evaluation?,"All objectives setting and performance review are captured on myHR.  Once the process is initiated, employee will receive email notification to complete it.",Performance Management,practice objective setting performance evaluation
How can I complete my compliance modules?,"For every compliance training, Learning Zone will send invitation email to your work email.  Once you receive it, you can login the website and complete the training.",Learning & Development,complete compliance modules
Where can I finish compliance trainings?,"For every compliance training, Learning Zone will send invitation email to your work email.  Once you receive it, you can login the website and complete the training.",Learning & Development,finish compliance trainings
"I haven’t received the training reimbursement, who should I follow?","Please login T&C and check the status.  If the application is not yet approved, please check with your departmental approver.  If the application is approved, please check with Payroll Team about the payment.",IT Support,received training reimbursement follow
Cannot login to Learning Zone,"Please use forget password function to retrieve your own password.  In case you still cannot login to it, please contact your HR Business Partner.",IT Support,cannot login learning zone
"I register a training in Learning Zone, but I didn’t see the approval track","The approval may be pending at line manager or HR.  In case you want to check the status, please check with Kit Wong.",IT Support,register training learning zone see approval track
How can I know if my training application is approved? ,"The approval may be pending at line manager or HR.  In case you want to check the status, please check with Kit Wong.",IT Support,know training application approved
"As contract staff, am I entitled to the training / professional membership reimbursement?",The Employee Professional Development Sponsorship policy applies to all full-time permanent staff of Prudential Hong Kong Limited and Prudential General Insurance Limited (“the Company”).,Learning & Development,contract staff entitled training professional membership reimbursement
Am I eligible for training as a contract staff?,The Employee Professional Development Sponsorship policy applies to all full-time permanent staff of Prudential Hong Kong Limited and Prudential General Insurance Limited (“the Company”).,Learning & Development,eligible training contract staff
Am I entitled the professional memberships?,"The Employee Professional Development Sponsorship policy applies to all full-time permanent staff of Prudential Hong Kong Limited and Prudential General Insurance Limited (“the Company”).  Approvals are required from both the Department Head and the Senior Manager, Learning & Development in the Human Resources team.",Learning & Development,entitled professional memberships
Who is entitled for professional development sponsorship?,"The Employee Professional Development Sponsorship policy applies to all full-time permanent staff of Prudential Hong Kong Limited and Prudential General Insurance Limited (“the Company”).  Approvals are required from both the Department Head and the Senior Manager, Learning & Development in the Human Resources team.",Learning & Development,entitled professional development sponsorship
"I am still on probation, am I eligible for training reimbursement?",The Employee Professional Development Sponsorship policy applies to all full-time permanent staff of Prudential Hong Kong Limited and Prudential General Insurance Limited (“the Company”).  It is not limited for probation.,Learning & Development,still probation eligible training reimbursement
"I am still on probation, am I eligible for professional membership reimbursement?",The Employee Professional Development Sponsorship policy applies to all full-time permanent staff of Prudential Hong Kong Limited and Prudential General Insurance Limited (“the Company”).  It is not limited for probation.,Learning & Development,still probation eligible professional membership reimbursement
How to align with the Guided Distribution for performance ratings?,(placeholder),Performance Management,align guided distribution performance ratings
Why can't I retrieve my payslip in the Workday app on Iphone?,"Every staff can login Workday app and view their own payslip.  In case your can't access it, please contact payroll team for checking.",IT Support,retrieve payslip workday app iphone
"As a new joiner, when will I get my first pay?","For new joiner, you will get your first pay at the payment date of next month of hire date.  Please refer to HR Portal's calendar, there is a calendar item named ""Payroll Payment Date (New Joiner)"" on each month.",Payroll,new joiner get first pay
"I am newly joined, when will I receive my pay?","For new joiner, you will get your first pay at the payment date of next month of hire date.  Please refer to HR Portal's calendar, there is a calendar item named ""Payroll Payment Date (New Joiner)"" on each month.",Payroll,newly joined receive pay
Where can I get my payslip,Please go to myHR -> Pay -> Payslip,Payroll,get payslip
Where can I see my payslip?,Please go to myHR -> Pay -> Payslip,Payroll,see payslip
Where is my payslip?,Please go to myHR -> Pay -> Payslip,Payroll,payslip
When will I receive my actuarial exam reimbursement?,"If you can submit to Payroll Team and get approval before the payroll cut-off, you can get pay in the current payroll month else you can receive it in the following payroll monthPlease to HR's OneNet. For the payroll calendar, please go to HR OneNet -> Reward -> Pay",Payroll,receive actuarial exam reimbursement
Payroll enquiries – why there is deduction? ,Please contact Payroll Team in case you have any enquiry on payroll related enquiries.,Payroll,payroll enquiries deduction
How no pay leave is calculated?,Please contact Payroll Team in case you have any enquiry on payroll related enquiries.,Payroll,pay leave calculated
